#detId FED harn
872426400 601 13
872426401 601 13
872426273 601 13
872426274 601 13
872426402 601 13
872426275 601 13
872426403 601 13
872427418 601 12
872427419 601 12
872427420 601 12
872427421 601 12
872427422 601 12
872427290 601 12
872427291 601 12
872427292 601 12
872427293 601 12
872427294 601 12
872426906 601 12
872427034 601 12
872427162 601 12
872427163 601 12
872427164 601 12
872427035 601 12
872427036 601 12
872427037 601 12
872427165 601 12
872427166 601 12
872426907 601 12
872426908 601 12
872426909 601 12
872426910 601 12
872427038 601 12
872427556 601 12
872427684 601 12
872427557 601 12
872427685 601 12
872427686 601 12
872427558 601 12
872427559 601 12
872427687 601 12
872427560 601 12
872427688 601 12
872425557 602 5
872425556 602 5
872425555 602 5
872425427 602 5
872425554 602 5
872425426 602 5
872425298 602 5
872425553 602 5
872425425 602 5
872425297 602 5
872425429 602 5
872425301 602 5
872425173 602 5
872425428 602 5
872425300 602 5
872425299 602 5
872425170 602 5
872425042 602 5
872425169 602 5
872425041 602 5
872425045 602 5
872425172 602 5
872425044 602 5
872425171 602 5
872425043 602 5
872426196 602 5
872426195 602 5
872426194 602 5
872426193 602 5
872426065 602 5
872426197 602 5
872426069 602 5
872425941 602 5
872426068 602 5
872425940 602 5
872426067 602 5
872425939 602 5
872426066 602 5
872425938 602 5
872425937 602 5
872425813 602 5
872425812 602 5
872425811 602 5
872425810 602 5
872425809 602 5
872425685 602 5
872425684 602 5
872425683 602 5
872425682 602 5
872425681 602 5
872426199 602 5
872426071 602 5
872425943 602 5
872426198 602 5
872426070 602 5
872425815 602 5
872425687 602 5
872425942 602 5
872425814 602 5
872425686 602 5
872426453 602 5
872426325 602 5
872426452 602 5
872426324 602 5
872426451 602 5
872426323 602 5
872426450 602 5
872426322 602 5
872426449 602 5
872426321 602 5
872422970 602 7
872425552 602 5
872425551 602 5
872425550 602 5
872425422 602 5
872425549 602 5
872425421 602 5
872425293 602 5
872425548 602 5
872425420 602 5
872425292 602 5
872425424 602 5
872425296 602 5
872425168 602 5
872425423 602 5
872425295 602 5
872425294 602 5
872425165 602 5
872425037 602 5
872425164 602 5
872425036 602 5
872425040 602 5
872425167 602 5
872425039 602 5
872425166 602 5
872425038 602 5
872426191 602 5
872426063 602 5
872426190 602 5
872426062 602 5
872426189 602 5
872426061 602 5
872425933 602 5
872426188 602 5
872426060 602 5
872425932 602 5
872426192 602 5
872426064 602 5
872425936 602 5
872425808 602 5
872425935 602 5
872425807 602 5
872425934 602 5
872425806 602 5
872425805 602 5
872425804 602 5
872425680 602 5
872425679 602 5
872425678 602 5
872425677 602 5
872425676 602 5
872426832 602 5
872426704 602 5
872426576 602 5
872426831 602 5
872426830 602 5
872426829 602 5
872426701 602 5
872426828 602 5
872426700 602 5
872426572 602 5
872426703 602 5
872426575 602 5
872426702 602 5
872426574 602 5
872426573 602 5
872426448 602 5
872426447 602 5
872426446 602 5
872426445 602 5
872426444 602 5
872426320 602 5
872426319 602 5
872426318 602 5
872426317 602 5
872426316 602 5
872424907 602 6
872424906 602 6
872424778 602 6
872424905 602 6
872424777 602 6
872424904 602 6
872424776 602 6
872424903 602 6
872424775 602 6
872424647 602 6
872424779 602 6
872424651 602 6
872424523 602 6
872424650 602 6
872424522 602 6
872424648 602 6
872424520 602 6
872424392 602 6
872424519 602 6
872424391 602 6
872424395 602 6
872424394 602 6
872424649 602 6
872424521 602 6
872424393 602 6
872425547 602 6
872425546 602 6
872425545 602 6
872425417 602 6
872425544 602 6
872425416 602 6
872425288 602 6
872425543 602 6
872425415 602 6
872425287 602 6
872425419 602 6
872425291 602 6
872425163 602 6
872425418 602 6
872425290 602 6
872425289 602 6
872425161 602 6
872425160 602 6
872425159 602 6
872425031 602 6
872425035 602 6
872425162 602 6
872425034 602 6
872425033 602 6
872425032 602 6
872426186 602 5
872426185 602 5
872426184 602 5
872426183 602 5
872426055 602 5
872426058 602 5
872426057 602 5
872425929 602 5
872426056 602 5
872425928 602 5
872426187 602 5
872426059 602 5
872425931 602 5
872425803 602 5
872425930 602 5
872425800 602 5
872425672 602 5
872425927 602 5
872425799 602 5
872425671 602 5
872425675 602 5
872425802 602 5
872425674 602 5
872425801 602 5
872425673 602 5
872426825 602 8
872426824 602 8
872426696 602 8
872426823 602 8
872426695 602 8
872426827 602 8
872426699 602 8
872426826 602 8
872426698 602 8
872426697 602 8
872426571 602 8
872426443 602 8
872426570 602 8
872426442 602 8
872426569 602 8
872426568 602 8
872426440 602 8
872426567 602 8
872426439 602 8
872426311 602 8
872426315 602 8
872426314 602 8
872426441 602 8
872426313 602 8
872426312 602 8
872427467 602 8
872427466 602 8
872427465 602 8
872427464 602 8
872427463 602 8
872427339 602 8
872427338 602 8
872427337 602 8
872427336 602 8
872427335 602 8
872427211 602 8
872427083 602 8
872426955 602 8
872427210 602 8
872427209 602 8
872427081 602 8
872427208 602 8
